location,2x_shots,3x_shots,reboundings,interceptions,losses,fouls,scores_dif
1,39,23,24,5,10,21,2
0,46,21,33,12,11,23,-9
1,45,27,31,3,12,28,-8
1,41,25,30,7,13,23,-8
0,37,26,28,8,14,23,-7
0,48,20,27,11,14,24,-12
0,47,22,33,3,7,21,-5
0,44,24,39,7,11,24,12
0,54,19,38,15,10,20,29
1,44,26,35,8,10,18,12
1,47,27,39,9,11,27,7
0,50,23,35,5,13,24,-27
1,46,18,26,13,9,25,-1
1,60,6,32,10,9,27,7
1,53,22,30,10,12,24,-8
1,43,12,28,7,14,21,-4
1,57,22,31,9,10,29,-6
0,47,22,43,9,13,15,-13
1,54,19,47,3,17,23,28
0,40,16,28,10,15,23,5
0,51,15,39,6,14,21,6
0,45,21,32,4,11,26,-16
0,37,21,32,8,19,26,-6
0,54,10,38,8,15,26,-17
1,45,19,26,10,12,18,11
0,40,19,30,8,17,24,-2
1,32,21,26,11,20,23,-17
0,27,24,38,8,21,15,4
0,34,23,34,9,18,20,14
0,41,24,30,12,10,21,16
1,35,31,35,7,13,18,5
1,42,21,34,8,13,22,5
1,52,19,28,4,9,16,-16
1,49,13,28,6,16,26,-8
0,42,15,45,8,14,21,4
0,40,20,22,1,10,20,-23
1,52,15,31,13,13,14,2
0,45,23,32,6,14,21,-13
1,45,17,33,8,17,17,-17
1,47,23,37,7,9,24,9
0,30,21,30,3,16,23,-28
0,40,18,31,8,12,24,-15
1,56,21,48,2,11,19,16
1,48,19,33,11,15,19,3
1,55,24,49,5,11,23,12
1,50,15,36,13,21,19,9
0,47,18,41,10,15,26,-8
1,58,19,41,7,10,17,-2
